unit,Baskets_combined_simplified,Latest basket (2021),n (world),grouping,group,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,WB Income levels 2021,low and middle income,28.08,27.57,24.82,24.05,23.55,22.19,21.5,20.5,19.7,20.05168821,15.89366335,16.25692068,16.29277871,13.45491823
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.78321687,24.64236768,23.62184147,20.39997868
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.81638463,24.73664132,22.01780456,24.06017511
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.20413484,18.15711291,18.83684546,18.33076889
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56133473,13.72775142,12.20521499,12.09153921
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1301714,21.2137662,21.36282276,15.4094601
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.30156772,31.00801395,32.66,32.95289521
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.34317179,22.23102013,22.59902763,20.22210647
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25793552,19.62707947,21.42983507,19.19332559
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.85988171,24.85988171,23.62184147,22.11777892
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2343511,31.00801395,30.16371277,36.36818591
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.33755413,26.10074218,25.18253012,21.63487608
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.53633306,19.39344202,17.48959586,18.13947271
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.76717571,24.02953017,22.85680889,20.88988077
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.21919413,22.2795058,23.36522019,19.02391282
PPP,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),161,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.64236768,22.23102013,22.4829731,20.87619885
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.72874966,44.80808597,38.27060996,34.70962152
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.53271491,35.58265694,32.27625418,38.24582591
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.32666882,28.25651419,26.28540882,22.81540897
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.66620603,16.99508245,13.51110513,22.12481361
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.01182638,24.17048717,25.70727316,22.16882363
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.14257915,42.3851088,39.0549307,39.31116467
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.97262193,33.21325053,29.82929884,27.97623318
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.00527503,41.68526659,37.17755222,36.64394497
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.32727738,44.72874966,35.54348236,30.58520431
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.73750495,42.69128668,41.33351071,41.3380359
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.62466009,45.85107315,40.11773415,37.5246787
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.87030154,33.75735066,25.98498912,27.61365282
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.358965,32.58361623,29.96737503,30.64861769
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.85632667,29.83350416,28.19685762,26.06534142
PPP,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),164,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.58055977,34.92419354,31.09892907,28.63457764
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,Africa,89.23,62.895,52.025,48.705,44.95,42.28930516,38.615,31.585,25.95,25.80186173,25.38537736,25.38537736,21.95027524,25.31545664
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,Arab States,33.33,26.67,25.29,22.56,20.15,19.60487854,18.62,15.45,14.62,18.78829135,19.72770592,19.72770592,19.72770649,19.72770592
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,Asia & Pacific,22.765,21.18,21.84,21.84,21.515,20.20416894,19.035,18.99,18.13,17.47499466,18.60852591,19.26022046,22.18637715,21.03686056
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,CIS countries,26.31,22.39,15.3,11.665,10.465,9.910018763,9.445,7.765,6.12,5.156181006,6.523510602,6.132562305,5.613749147,5.568704793
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,Europe countries,29.11,28.705,24.7,21.37,21.25,21.18857892,22.29,18.635,19.47,21.52463946,23.29820232,22.99617287,22.39395735,23.80939856
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,ITU BDT Regions,The Americas,38.04,29.26,31.16,24.93,22.62,24.33858827,22,23.42,23.99,26.07617151,30.32496189,31.76923694,28.40280535,28
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,World,World,33.875,29.18,28.22,25.63,23.72,21.69654894,21.835,21.23,20.4,21.34818798,22.97642839,23.12091624,22.78928938,23.88137123
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,LDC,LDC,95.28,87.625,50.54,42.795,39.175,31.16380817,25.655,25.165,20.34,20.15895423,21.27245961,21.27245961,17.13536584,18.83667215
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,LLDC,LLDC,44.79,50,34.96,27.64,22.59,21.57031924,14.29,14.33,14.34,17.00754628,18.14061113,18.14061113,16.50763974,14.87129406
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,SIDS,SIDS,48.34,34.685,36.2,31.175,31.91,31.19444416,30.44,25.97,25.84,27.38407127,29.92090596,30.218677,30.86443578,30.63923203
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,WB Income levels 2021,Low income,184.46,101.55,90.64,47.3,43.67,45.12792486,45.09,37.2,25.29,21.47417459,22.49342979,22.49342979,21.60460161,22.97592816
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,WB Income levels 2021,Lower middle income,40.2,39.88,34.42,25.54,23.44,20.7013707,18.07,21.23,16.36,19.5,21.27351664,21.27351664,20,20.86836433
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,WB Income levels 2021,Upper middle income,29.72,22.44,19.015,18.83,18.39,18.53841403,18.51,16.43,17.75,16.56146828,18.45459689,18.77407572,17.70999668,17.55612214
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,WB Income levels 2021,High income,30.79,28.905,28.395,27.215,26.985,27.17324555,27.95,26.015,24.415,31.69999255,33.33019895,32.84010283,36.43406584,40.83002106
USD,Fixed broadband basket,Fixed broadband basket (5GB),136,WB Income levels 2021,low and middle income,36.495,30.935,28.22,21.84,20.515,19.70191941,18.51,18.37,17.75,18.64173571,19.82639261,19.93912558,18.78622307,18.96814958
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,20.24,15.17,13.97,10.23362488,8.307431551,8.811104939,8.723481978,6.148916321,6.40163288
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,16.48,14.08,13,14.08450704,19.77914877,13.00390117,13.00390117,13.00390128,13.65409623
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,16.27,14.67,12.01,9.480584625,9.7308567,7.914831733,7.914831733,7.177820875,7
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,8.92,8.92,5.74,4.354687865,4.356243874,4.322526212,3.945802473,3.710231513,5.74216783
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,15.96,13.26,11.09,10.8643161,11.75356155,12.17763271,14.46078797,11.90299227,12.046386
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,18.48,18.09,15.98,14.09216568,12.90286556,15.15373736,14.07107349,11.29556929,11.95787033
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,World,World,NA,NA,NA,NA,NA,16.99,14.55,12.01,11.0619469,11.26890812,11.29550369,11.22215059,8.718483565,9.282813267
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,LDC,LDC,NA,NA,NA,NA,NA,20.085,13.33,10.225,8.662132506,7.822359108,6.776480945,6.552436704,5.318021745,5.307077746
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,LLDC,LLDC,NA,NA,NA,NA,NA,12.6,10.11,7.32,6.15077493,6.87173587,5.366146972,5.366146972,4.902824913,5.74216783
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,SIDS,SIDS,NA,NA,NA,NA,NA,22.595,19.215,18.31,17.16530628,16.37131938,15.23012599,15.23012599,14.92849843,14.38462722
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,19.85,13.305,9.5,8.629116901,7.798014632,7.211843478,7.211843478,5.465535597,5.233666552
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,14.1,12.5,11.06,7.158606076,6.87173587,6.626083718,5.677779739,4.663426832,5.311176449
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,15.43,13.73,10.87,10.16397886,8.701285918,8.811104939,8.77639034,8.225541343,8.476993708
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,WB Income levels 2021,High income,NA,NA,NA,NA,NA,19.955,17.5,14.77,14.51183333,16.68910826,17.52333741,16.8499272,17.00670501,14.89388424
USD,Data-only mobile broadband,Data-only mobile broadband 2GB,142,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,15.33,13.18,10.47,8.464605061,7.715128864,7.538610236,7.527147109,6.626604193,6.79126399
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,Africa,19.145,18.795,13.205,16.01,15.4,14.07563215,11.65,8.6,7.5,8.388146457,7.638702935,7.650212018,5.832384417,5.476952053
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,Arab States,12.27,11.545,11.43,12.15,12.555,9.930475087,10.5,9.45,9.4,8.576602218,4.849693816,5.279271281,4.539526511,4.362901737
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,Asia & Pacific,8.095,6.27,6.07,7.985,8.095,5.96542956,6.15,6.05,6.5,6.331601289,6.110653287,6.110653287,5.736081849,6.067098289
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,CIS countries,11.035,8.225,7.78,8.4,8.835,7.778751607,7.45,5.65,3.75,3.629296254,2.885586377,3.070108797,3.465906601,3.414332198
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,Europe countries,28.365,26.17,20.195,22.02,22.7,22.32753582,16.3,12.95,11.35,13.68957694,10.98287694,11.8095451,11.28487595,8.434881889
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,ITU BDT Regions,The Americas,19.7,18.435,19.515,16.865,16.99,17.33742593,18.2,16.75,14.75,14.84,14.57025993,14.9887878,12.7313094,12.35183429
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,World,World,18.295,16.72,14.05,15.825,15.2,14.05021753,13.95,10.85,10.2,10.72237914,9.465798197,10.08535151,9.033376936,7.430181169
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,LDC,LDC,17.645,15.91,11.89,14.555,12.14,12.37337346,11.4,8.25,6.95,7.238224916,7.130429147,7.130429147,4.443208295,3.578368621
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,LLDC,LLDC,14.515,12.795,10.53,11.94,10.87,10.52628638,10.25,7.5,6.85,7.018726654,6.860773406,6.864078879,5.832384417,5.261494156
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,SIDS,SIDS,15.59,15.41,15.355,16.3,16.865,15.3537276,16.5,17,16.4,17.03766861,14.73741948,14.73741948,12.68407913,13.50388348
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,WB Income levels 2021,Low income,18.89,17.84,11.67,15.43,11.56,11.67172699,11.6,8.4,5.9,5.477809599,5.121922844,5.121922844,4.398201798,3.112973886
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,WB Income levels 2021,Lower middle income,14.32,12.555,10.79,12.18,10.685,10.78895192,10.7,8.25,7.8,8.288791304,6.569051383,6.525977249,5.479849659,4.850480595
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,WB Income levels 2021,Upper middle income,15.09,14.245,12.39,15.01,15.105,12.39004908,12.45,9.25,9.2,9.497469009,7.493358658,8.188017978,7.360931704,6.141416323
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,WB Income levels 2021,High income,26.45,24.43,18.95,20.8,21.43,19.6498801,17.7,14.2,14.1,14.128,12.73076045,14.69556353,12.68918476,12.05844444
USD,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),136,WB Income levels 2021,low and middle income,15.12,14.15,11.67,13.68,12.88,12.04609011,11.6,8.5,8.1,8.327720109,7.291864603,7.408150509,5.884975199,5.609669955
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.59632068,10.83844403,8.44603276,9.062438242
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.53151481,13.13818924,11.52675549,11.66774701
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26976505,10.24283963,9.740075142,10.37289414
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.705836217,3.764668974,3.529411666,3.461237275
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.04400702,15.55317089,15.42441773,12.18795042
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.55314634,20,19.66395689,18.98773051
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.78226904,13.9880682,12.01214799,11.51212168
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.69844319,9.853455958,7.48504211,6.825897271
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.33793479,10.33793479,7.429402559,7.015169135
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.22776803,26.12603891,23.7,25
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.57524762,11.04279686,7.996138349,6.664288197
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04354402,8.692870349,7.406957966,7.567113365
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00439397,12.73305911,11.01269802,11.07146976
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.07622667,20.06441712,19.35615993,16.54174498
USD,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),190,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.96404729,10.93252178,8.727912369,9.196982216
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0254893,22.0254893,13.80749496,13.7855569
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.19510637,21.0663199,17.18281718,14.77464789
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.35602697,14.41904819,13.47976654,14.02888348
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.382829338,5.747869591,4.386484645,6.333016982
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.59011957,23.3115242,18.38806996,17.68230944
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.62781357,26.55003558,26.28845913,21.25189136
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.92723131,22.73963661,17.21640859,16.51655818
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.24150763,19.13801296,13.50910257,13.29249551
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.84566366,17.75467622,12.32326476,10.88662773
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.14885692,35.18518519,33.17277147,33.13241105
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.24150763,20.83395006,14.05438569,12.78339297
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.29270085,13.925,10.63785425,10.01152902
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.87643951,18.74169504,14.8158956,14.81589537
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.87396222,27.96082894,24.94014293,23.10702337
USD,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),190,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.81737191,17.95780902,13.50910257,13.51411325
